,turn,move_made,player,winner,detected?
0,1,g1f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
1,2,g8f6,autonomic,,N/A
2,3,c2c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
3,4,c7c5,autonomic,,N/A
4,5,g2g3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
5,6,d7d5,autonomic,,N/A
6,7,c4d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
7,8,f6d5,autonomic,,N/A
8,9,f1g2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
9,10,b8c6,autonomic,,N/A
10,11,d2d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
11,12,c5d4,autonomic,,N/A
12,13,f3d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
13,14,d5b4,autonomic,,N/A
14,15,d4c6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
15,16,d8d1,autonomic,,N/A
16,17,e1d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
17,18,b4c6,autonomic,,N/A
18,19,b1c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
19,20,c8f5,autonomic,,N/A
20,21,g2c6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
21,22,b7c6,autonomic,,N/A
22,23,d1e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
23,24,e7e5,autonomic,,N/A
24,25,c3a4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
25,26,h7h5,autonomic,,N/A
26,27,f2f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
27,28,f8e7,autonomic,,N/A
28,29,h2h4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
29,30,c6c5,autonomic,,N/A
30,31,c1e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
31,32,c5c4,autonomic,,N/A
32,33,a1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
33,34,a8c8,autonomic,,N/A
34,35,e1f2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
35,36,f5e6,autonomic,,N/A
36,37,h1d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
37,38,f7f6,autonomic,,N/A
38,39,a4c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
39,40,a7a5,autonomic,,N/A
40,41,c3d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
41,42,e7d8,autonomic,,N/A
42,43,d5b6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
43,44,c8c6,autonomic,,N/A
44,45,b6d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
45,46,c6c8,autonomic,,N/A
46,47,c1c2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
47,48,e8f7,autonomic,,N/A
48,49,f2g2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
49,50,h8g8,autonomic,,N/A
50,51,e3f2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
51,52,f6f5,autonomic,,N/A
52,53,d5b6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
53,54,c8c6,autonomic,,N/A
54,55,b6d7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
55,56,d8c7,autonomic,,N/A
56,57,d7c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
57,58,c7d6,autonomic,,N/A
58,59,c5e6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
59,60,f7e6,autonomic,,N/A
60,61,f2e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
61,62,d6b4,autonomic,,N/A
62,63,e1c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
63,64,g8b8,autonomic,,N/A
64,65,c2d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
65,66,a5a4,autonomic,,N/A
66,67,d2d7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
67,68,e6f6,autonomic,,N/A
68,69,d1d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
69,70,b4c3,autonomic,,N/A
70,71,b2c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
71,72,b8b2,autonomic,,N/A
72,73,g2f2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
73,74,b2a2,autonomic,,N/A
74,75,d7a7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
75,76,a2a3,autonomic,,N/A
76,77,d5d7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
77,78,a3c3,autonomic,,N/A
78,79,d7g7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
79,80,c3b3,autonomic,,N/A
80,81,g7h7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
81,82,f6g6,autonomic,,N/A
82,83,h7g7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
83,84,g6h6,autonomic,,N/A
84,85,g7h7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
85,86,h6g6,autonomic,,N/A
86,87,a7f7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
87,88,b3b8,autonomic,,N/A
88,89,f3f4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
89,90,e5f4,autonomic,,N/A
90,91,h7g7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
91,92,g6h6,autonomic,,N/A
92,93,g7h7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
93,94,h6g6,autonomic,,N/A
94,95,h7g7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
