,turn,move_made,player,winner,detected?
0,1,d2d4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,c2c4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,g1f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
5,6,g8f6,autonomic,,N/A
6,7,g2g3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
7,8,c7c5,autonomic,,N/A
8,9,f1g2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
9,10,c5d4,autonomic,,N/A
10,11,e1g1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
11,12,f8e7,autonomic,,N/A
12,13,f3d4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
13,14,e8g8,autonomic,,N/A
14,15,c4d5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
15,16,f6d5,autonomic,,N/A
16,17,d1b3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
17,18,b8c6,autonomic,,N/A
18,19,d4c6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
19,20,b7c6,autonomic,,N/A
20,21,e2e4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
21,22,d5f6,autonomic,,N/A
22,23,f1d1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
23,24,d8c7,autonomic,,N/A
24,25,h2h3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
25,26,e7c5,autonomic,,N/A
26,27,b3f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
27,28,e6e5,autonomic,,N/A
28,29,c1e3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
29,30,c5e3,autonomic,,N/A
30,31,f3e3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
31,32,c8e6,autonomic,,N/A
32,33,b2b3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
33,34,c7b6,autonomic,,N/A
34,35,e3e2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
35,36,f8d8,autonomic,,N/A
36,37,b1d2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
37,38,b6b5,autonomic,,N/A
38,39,e2e1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
39,40,d8d4,autonomic,,N/A
40,41,a1c1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
41,42,a8d8,autonomic,,N/A
42,43,d2f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
43,44,d4d1,autonomic,,N/A
44,45,c1d1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
45,46,d8d1,autonomic,,N/A
46,47,e1d1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
47,48,h7h6,autonomic,,N/A
48,49,d1c2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
49,50,b5a5,autonomic,,N/A
50,51,g2f1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
51,52,g7g5,autonomic,,N/A
52,53,g1h2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
53,54,g8g7,autonomic,,N/A
54,55,f1d3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
55,56,g5g4,autonomic,,N/A
56,57,h3g4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
57,58,e6g4,autonomic,,N/A
58,59,f3d2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
59,60,a5b6,autonomic,,N/A
60,61,d2c4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
61,62,b6d4,autonomic,,N/A
62,63,h2g2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
63,64,f6h7,autonomic,,N/A
64,65,d3e2,"opponent,Lizard-10_5-win_avx2.exe",,N/A
65,66,g4e6,autonomic,,N/A
66,67,c2d3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
67,68,d4a1,autonomic,,N/A
68,69,c4d6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
69,70,a1a2,autonomic,,N/A
70,71,d6e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
71,72,g7f8,autonomic,,N/A
72,73,e8c7,"opponent,Lizard-10_5-win_avx2.exe",,N/A
73,74,a2b3,autonomic,,N/A
74,75,d3d6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
75,76,f8g8,autonomic,,N/A
76,77,d6e5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
77,78,b3b8,autonomic,,N/A
78,79,e5d6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
79,80,h7g5,autonomic,,N/A
80,81,d6c6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
81,82,b8c8,autonomic,,N/A
82,83,e4e5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
83,84,e6f5,autonomic,,N/A
84,85,f2f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
85,86,f5g6,autonomic,,N/A
86,87,c6e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
87,88,c8e8,autonomic,,N/A
88,89,c7e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
89,90,a7a5,autonomic,,N/A
90,91,e8d6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
91,92,a5a4,autonomic,,N/A
92,93,d6b5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
93,94,g5e6,autonomic,,N/A
