,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Obsidian140-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Obsidian140-avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,f1b5,"opponent,Obsidian140-avx2.exe",,N/A
5,6,a7a6,autonomic,,N/A
6,7,b5a4,"opponent,Obsidian140-avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,e1g1,"opponent,Obsidian140-avx2.exe",,N/A
9,10,f8e7,autonomic,,N/A
10,11,f1e1,"opponent,Obsidian140-avx2.exe",,N/A
11,12,b7b5,autonomic,,N/A
12,13,a4b3,"opponent,Obsidian140-avx2.exe",,N/A
13,14,e8g8,autonomic,,N/A
14,15,c2c3,"opponent,Obsidian140-avx2.exe",,N/A
15,16,c6a5,autonomic,,N/A
16,17,b3c2,"opponent,Obsidian140-avx2.exe",,N/A
17,18,d7d5,autonomic,,N/A
18,19,e4d5,"opponent,Obsidian140-avx2.exe",,N/A
19,20,e5e4,autonomic,,N/A
20,21,c2e4,"opponent,Obsidian140-avx2.exe",,N/A
21,22,f6e4,autonomic,,N/A
22,23,e1e4,"opponent,Obsidian140-avx2.exe",,N/A
23,24,c8b7,autonomic,,N/A
24,25,d2d4,"opponent,Obsidian140-avx2.exe",,N/A
25,26,f8e8,autonomic,,N/A
26,27,b1d2,"opponent,Obsidian140-avx2.exe",,N/A
27,28,d8d5,autonomic,,N/A
28,29,b2b3,"opponent,Obsidian140-avx2.exe",,N/A
29,30,c7c5,autonomic,,N/A
30,31,c1a3,"opponent,Obsidian140-avx2.exe",,N/A
31,32,b5b4,autonomic,,N/A
32,33,c3b4,"opponent,Obsidian140-avx2.exe",,N/A
33,34,c5b4,autonomic,,N/A
34,35,e4e5,"opponent,Obsidian140-avx2.exe",,N/A
35,36,d5d8,autonomic,,N/A
36,37,a3b2,"opponent,Obsidian140-avx2.exe",,N/A
37,38,a5c6,autonomic,,N/A
38,39,e5e1,"opponent,Obsidian140-avx2.exe",,N/A
39,40,e7f8,autonomic,,N/A
40,41,d2c4,"opponent,Obsidian140-avx2.exe",,N/A
41,42,c6e7,autonomic,,N/A
42,43,f3e5,"opponent,Obsidian140-avx2.exe",,N/A
43,44,e7f5,autonomic,,N/A
44,45,d1g4,"opponent,Obsidian140-avx2.exe",,N/A
45,46,g7g6,autonomic,,N/A
46,47,d4d5,"opponent,Obsidian140-avx2.exe",,N/A
47,48,h7h5,autonomic,,N/A
48,49,g4d1,"opponent,Obsidian140-avx2.exe",,N/A
49,50,a8c8,autonomic,,N/A
50,51,d1d2,"opponent,Obsidian140-avx2.exe",,N/A
51,52,b7d5,autonomic,,N/A
52,53,a1d1,"opponent,Obsidian140-avx2.exe",,N/A
53,54,d5e6,autonomic,,N/A
54,55,d2c1,"opponent,Obsidian140-avx2.exe",,N/A
55,56,d8c7,autonomic,,N/A
56,57,g2g4,"opponent,Obsidian140-avx2.exe",,N/A
57,58,f8h6,autonomic,,N/A
58,59,c1b1,"opponent,Obsidian140-avx2.exe",,N/A
59,60,f5h4,autonomic,,N/A
60,61,b1e4,"opponent,Obsidian140-avx2.exe",,N/A
61,62,c8d8,autonomic,,N/A
62,63,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
63,64,h6g7,autonomic,,N/A
64,65,g4h5,"opponent,Obsidian140-avx2.exe",,N/A
65,66,g6g5,autonomic,,N/A
66,67,d1d8,"opponent,Obsidian140-avx2.exe",,N/A
67,68,e8d8,autonomic,,N/A
68,69,e1c1,"opponent,Obsidian140-avx2.exe",,N/A
69,70,a6a5,autonomic,,N/A
70,71,h5h6,"opponent,Obsidian140-avx2.exe",,N/A
71,72,e6f5,autonomic,,N/A
72,73,e4h1,"opponent,Obsidian140-avx2.exe",,N/A
73,74,g7e5,autonomic,,N/A
74,75,b2e5,"opponent,Obsidian140-avx2.exe",,N/A
75,76,c7e7,autonomic,,N/A
76,77,h1c6,"opponent,Obsidian140-avx2.exe",,N/A
77,78,f5e6,autonomic,,N/A
78,79,c4e3,"opponent,Obsidian140-avx2.exe",,N/A
79,80,g8h7,autonomic,,N/A
80,81,c6e4,"opponent,Obsidian140-avx2.exe",,N/A
81,82,f7f5,autonomic,,N/A
82,83,c1c7,"opponent,Obsidian140-avx2.exe",,N/A
83,84,d8d7,autonomic,,N/A
84,85,e4c6,"opponent,Obsidian140-avx2.exe",,N/A
85,86,f5f4,autonomic,,N/A
86,87,e3g4,"opponent,Obsidian140-avx2.exe",,N/A
87,88,d7c7,autonomic,,N/A
88,89,c6c7,"opponent,Obsidian140-avx2.exe",,N/A
89,90,e7c7,autonomic,,N/A
90,91,e5c7,"opponent,Obsidian140-avx2.exe",,N/A
91,92,a5a4,autonomic,,N/A
92,93,c7d8,"opponent,Obsidian140-avx2.exe",,N/A
93,94,a4b3,autonomic,,N/A
94,95,a2b3,"opponent,Obsidian140-avx2.exe",,N/A
95,96,e6b3,autonomic,,N/A
96,97,d8e7,"opponent,Obsidian140-avx2.exe",,N/A
97,98,h4f3,autonomic,,N/A
98,99,g1h1,"opponent,Obsidian140-avx2.exe",,N/A
99,100,b3a4,autonomic,,N/A
100,101,e7b4,"opponent,Obsidian140-avx2.exe",,N/A
101,102,a4c6,autonomic,,N/A
102,103,b4f8,"opponent,Obsidian140-avx2.exe",,N/A
103,104,f3e5,autonomic,,N/A
104,105,h1h2,"opponent,Obsidian140-avx2.exe",,N/A
105,106,e5g4,autonomic,,N/A
106,107,h3g4,"opponent,Obsidian140-avx2.exe",,N/A
107,108,c6e4,autonomic,,N/A
108,109,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
109,110,e4d3,autonomic,,N/A
110,111,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
111,112,h7g6,autonomic,,N/A
112,113,h2g2,"opponent,Obsidian140-avx2.exe",,N/A
113,114,d3e2,autonomic,,N/A
114,115,g2h3,"opponent,Obsidian140-avx2.exe",,N/A
115,116,g6h7,autonomic,,N/A
116,117,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
117,118,e2f1,autonomic,,N/A
118,119,h3h2,"opponent,Obsidian140-avx2.exe",,N/A
119,120,h7g6,autonomic,,N/A
120,121,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
121,122,g6h7,autonomic,,N/A
122,123,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
123,124,h7g6,autonomic,,N/A
124,125,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
125,126,f1a6,autonomic,,N/A
126,127,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
127,128,a6f1,autonomic,,N/A
128,129,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
129,130,f1c4,autonomic,,N/A
130,131,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
131,132,c4f1,autonomic,,N/A
132,133,h3h2,"opponent,Obsidian140-avx2.exe",,N/A
133,134,f1e2,autonomic,,N/A
134,135,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
135,136,e2f3,autonomic,,N/A
136,137,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
137,138,f3d1,autonomic,,N/A
138,139,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
139,140,d1e2,autonomic,,N/A
140,141,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
141,142,e2f1,autonomic,,N/A
142,143,h3h2,"opponent,Obsidian140-avx2.exe",,N/A
143,144,g6f7,autonomic,,N/A
144,145,g7e5,"opponent,Obsidian140-avx2.exe",,N/A
145,146,f7g6,autonomic,,N/A
146,147,e5g7,"opponent,Obsidian140-avx2.exe",,N/A
147,148,f1d3,autonomic,,N/A
148,149,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
149,150,d3c2,autonomic,,N/A
150,151,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
151,152,c2d1,autonomic,,N/A
152,153,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
153,154,g6h7,autonomic,,N/A
154,155,g7f8,"opponent,Obsidian140-avx2.exe",,N/A
155,156,h7g6,autonomic,,N/A
156,157,f8g7,"opponent,Obsidian140-avx2.exe",,N/A
157,158,d1b3,autonomic,,N/A
158,159,h3g2,"opponent,Obsidian140-avx2.exe",,N/A
159,160,b3d5,autonomic,,N/A
