,turn,move_made,player,winner,detected?
0,1,g1f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
1,2,g8f6,autonomic,,N/A
2,3,c2c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,g2g3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
5,6,d7d5,autonomic,,N/A
6,7,d2d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
7,8,f8e7,autonomic,,N/A
8,9,f1g2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
9,10,e8g8,autonomic,,N/A
10,11,e1g1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
11,12,d5c4,autonomic,,N/A
12,13,f3e5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
13,14,b8c6,autonomic,,N/A
14,15,g2c6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
15,16,b7c6,autonomic,,N/A
16,17,e5c6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
17,18,d8d7,autonomic,,N/A
18,19,c6e7,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
19,20,d7e7,autonomic,,N/A
20,21,d1a4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
21,22,e6e5,autonomic,,N/A
22,23,d4e5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
23,24,e7e5,autonomic,,N/A
24,25,b1c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
25,26,f6e4,autonomic,,N/A
26,27,c3d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
27,28,e4c5,autonomic,,N/A
28,29,a4c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
29,30,c8a6,autonomic,,N/A
30,31,c4c2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
31,32,e5e2,autonomic,,N/A
32,33,c2e2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
33,34,a6e2,autonomic,,N/A
34,35,f1e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
35,36,e2f3,autonomic,,N/A
36,37,c1f4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
37,38,f8e8,autonomic,,N/A
38,39,e1e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
39,40,e8e3,autonomic,,N/A
40,41,d1e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
41,42,c5e6,autonomic,,N/A
42,43,a1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
43,44,a8d8,autonomic,,N/A
44,45,f4e5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
45,46,f7f6,autonomic,,N/A
46,47,e5c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
47,48,g8f7,autonomic,,N/A
48,49,h2h4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
49,50,c7c5,autonomic,,N/A
50,51,e3c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
51,52,h7h6,autonomic,,N/A
52,53,g1f1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
53,54,g7g5,autonomic,,N/A
54,55,c3a5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
55,56,d8d7,autonomic,,N/A
56,57,h4g5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
57,58,h6g5,autonomic,,N/A
58,59,a5d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
59,60,f7g6,autonomic,,N/A
60,61,d2e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
61,62,d7h7,autonomic,,N/A
62,63,f1e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
63,64,e6d4,autonomic,,N/A
64,65,b2b3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
65,66,d4e2,autonomic,,N/A
66,67,c1c2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
67,68,e2d4,autonomic,,N/A
68,69,c2c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
69,70,h7h2,autonomic,,N/A
70,71,c4a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
71,72,d4e6,autonomic,,N/A
72,73,a3c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
73,74,e6d4,autonomic,,N/A
74,75,c4a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
75,76,d4e6,autonomic,,N/A
76,77,a3c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
77,78,e6d4,autonomic,,N/A
78,79,c4a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
79,80,d4e6,autonomic,,N/A
80,81,a3c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
81,82,e6d4,autonomic,,N/A
82,83,c4a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
83,84,d4e6,autonomic,,N/A
84,85,a3c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
85,86,e6d4,autonomic,,N/A
