,turn,move_made,player,winner,detected?
0,1,d2d4,"opponent,Obsidian140-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,c2c4,"opponent,Obsidian140-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,g1f3,"opponent,Obsidian140-avx2.exe",,N/A
5,6,g8f6,autonomic,,N/A
6,7,b1c3,"opponent,Obsidian140-avx2.exe",,N/A
7,8,c7c5,autonomic,,N/A
8,9,c4d5,"opponent,Obsidian140-avx2.exe",,N/A
9,10,f6d5,autonomic,,N/A
10,11,e2e4,"opponent,Obsidian140-avx2.exe",,N/A
11,12,d5c3,autonomic,,N/A
12,13,b2c3,"opponent,Obsidian140-avx2.exe",,N/A
13,14,c5d4,autonomic,,N/A
14,15,c3d4,"opponent,Obsidian140-avx2.exe",,N/A
15,16,f8b4,autonomic,,N/A
16,17,c1d2,"opponent,Obsidian140-avx2.exe",,N/A
17,18,b4d2,autonomic,,N/A
18,19,d1d2,"opponent,Obsidian140-avx2.exe",,N/A
19,20,e8g8,autonomic,,N/A
20,21,f1c4,"opponent,Obsidian140-avx2.exe",,N/A
21,22,b8d7,autonomic,,N/A
22,23,e1g1,"opponent,Obsidian140-avx2.exe",,N/A
23,24,b7b6,autonomic,,N/A
24,25,a1c1,"opponent,Obsidian140-avx2.exe",,N/A
25,26,c8b7,autonomic,,N/A
26,27,d4d5,"opponent,Obsidian140-avx2.exe",,N/A
27,28,d7c5,autonomic,,N/A
28,29,f1e1,"opponent,Obsidian140-avx2.exe",,N/A
29,30,f8e8,autonomic,,N/A
30,31,f3e5,"opponent,Obsidian140-avx2.exe",,N/A
31,32,e6d5,autonomic,,N/A
32,33,e4d5,"opponent,Obsidian140-avx2.exe",,N/A
33,34,d8d6,autonomic,,N/A
34,35,d2d4,"opponent,Obsidian140-avx2.exe",,N/A
35,36,e8e7,autonomic,,N/A
36,37,e1e3,"opponent,Obsidian140-avx2.exe",,N/A
37,38,a7a6,autonomic,,N/A
38,39,a2a3,"opponent,Obsidian140-avx2.exe",,N/A
39,40,a8e8,autonomic,,N/A
40,41,c1e1,"opponent,Obsidian140-avx2.exe",,N/A
41,42,f7f6,autonomic,,N/A
42,43,e5g4,"opponent,Obsidian140-avx2.exe",,N/A
43,44,e7e3,autonomic,,N/A
44,45,g4e3,"opponent,Obsidian140-avx2.exe",,N/A
45,46,d6e5,autonomic,,N/A
46,47,d4d1,"opponent,Obsidian140-avx2.exe",,N/A
47,48,b6b5,autonomic,,N/A
48,49,e3c2,"opponent,Obsidian140-avx2.exe",,N/A
49,50,e5b8,autonomic,,N/A
50,51,c4e2,"opponent,Obsidian140-avx2.exe",,N/A
51,52,b8d6,autonomic,,N/A
52,53,c2e3,"opponent,Obsidian140-avx2.exe",,N/A
53,54,b7c8,autonomic,,N/A
54,55,d1c2,"opponent,Obsidian140-avx2.exe",,N/A
55,56,c8d7,autonomic,,N/A
56,57,h2h4,"opponent,Obsidian140-avx2.exe",,N/A
57,58,c5e4,autonomic,,N/A
58,59,e2d3,"opponent,Obsidian140-avx2.exe",,N/A
59,60,f6f5,autonomic,,N/A
60,61,e3f5,"opponent,Obsidian140-avx2.exe",,N/A
61,62,d7f5,autonomic,,N/A
62,63,d3e4,"opponent,Obsidian140-avx2.exe",,N/A
63,64,b5b4,autonomic,,N/A
64,65,c2a4,"opponent,Obsidian140-avx2.exe",,N/A
65,66,e8e7,autonomic,,N/A
66,67,f2f3,"opponent,Obsidian140-avx2.exe",,N/A
67,68,b4a3,autonomic,,N/A
68,69,e1e3,"opponent,Obsidian140-avx2.exe",,N/A
69,70,f5e4,autonomic,,N/A
70,71,f3e4,"opponent,Obsidian140-avx2.exe",,N/A
71,72,d6b6,autonomic,,N/A
72,73,a4b3,"opponent,Obsidian140-avx2.exe",,N/A
73,74,b6b3,autonomic,,N/A
74,75,e3b3,"opponent,Obsidian140-avx2.exe",,N/A
75,76,a3a2,autonomic,,N/A
76,77,b3a3,"opponent,Obsidian140-avx2.exe",,N/A
77,78,e7e4,autonomic,,N/A
78,79,a3a2,"opponent,Obsidian140-avx2.exe",,N/A
79,80,e4h4,autonomic,,N/A
80,81,a2a6,"opponent,Obsidian140-avx2.exe",,N/A
81,82,h4d4,autonomic,,N/A
82,83,d5d6,"opponent,Obsidian140-avx2.exe",,N/A
83,84,d4d2,autonomic,,N/A
84,85,g1h2,"opponent,Obsidian140-avx2.exe",,N/A
85,86,d2d3,autonomic,,N/A
86,87,g2g3,"opponent,Obsidian140-avx2.exe",,N/A
87,88,g8f7,autonomic,,N/A
88,89,a6a7,"opponent,Obsidian140-avx2.exe",,N/A
89,90,f7f6,autonomic,,N/A
90,91,d6d7,"opponent,Obsidian140-avx2.exe",,N/A
91,92,g7g6,autonomic,,N/A
92,93,d7d8q,"opponent,Obsidian140-avx2.exe",,N/A
93,94,d3d8,autonomic,,N/A
94,95,a7h7,"opponent,Obsidian140-avx2.exe",,N/A
95,96,d8a8,autonomic,,N/A
96,97,h7h4,"opponent,Obsidian140-avx2.exe",,N/A
97,98,g6g5,autonomic,,N/A
98,99,h4g4,"opponent,Obsidian140-avx2.exe",,N/A
99,100,f6f5,autonomic,,N/A
100,101,g4d4,"opponent,Obsidian140-avx2.exe",,N/A
101,102,a8a1,autonomic,,N/A
102,103,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
103,104,a1h1,autonomic,,N/A
104,105,h3g2,"opponent,Obsidian140-avx2.exe",,N/A
105,106,h1a1,autonomic,,N/A
106,107,d4d8,"opponent,Obsidian140-avx2.exe",,N/A
107,108,a1a2,autonomic,,N/A
108,109,g2f3,"opponent,Obsidian140-avx2.exe",,N/A
109,110,a2a3,autonomic,,N/A
110,111,f3g2,"opponent,Obsidian140-avx2.exe",,N/A
111,112,a3a2,autonomic,,N/A
112,113,g2f3,"opponent,Obsidian140-avx2.exe",,N/A
113,114,a2a3,autonomic,,N/A
114,115,f3g2,"opponent,Obsidian140-avx2.exe",,N/A
115,116,a3a2,autonomic,,N/A
116,117,g2f3,"opponent,Obsidian140-avx2.exe",,N/A
117,118,a2a3,autonomic,,N/A
118,119,f3g2,"opponent,Obsidian140-avx2.exe",,N/A
119,120,a3a2,autonomic,,N/A
120,121,g2f3,"opponent,Obsidian140-avx2.exe",,N/A
121,122,a2a3,autonomic,,N/A
122,123,f3g2,"opponent,Obsidian140-avx2.exe",,N/A
123,124,a3a2,autonomic,,N/A
