,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Obsidian140-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Obsidian140-avx2.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,f3e5,"opponent,Obsidian140-avx2.exe",,N/A
5,6,d7d6,autonomic,,N/A
6,7,e5f3,"opponent,Obsidian140-avx2.exe",,N/A
7,8,f6e4,autonomic,,N/A
8,9,d2d4,"opponent,Obsidian140-avx2.exe",,N/A
9,10,f8e7,autonomic,,N/A
10,11,f1d3,"opponent,Obsidian140-avx2.exe",,N/A
11,12,d6d5,autonomic,,N/A
12,13,e1g1,"opponent,Obsidian140-avx2.exe",,N/A
13,14,c8f5,autonomic,,N/A
14,15,f1e1,"opponent,Obsidian140-avx2.exe",,N/A
15,16,e8g8,autonomic,,N/A
16,17,c2c4,"opponent,Obsidian140-avx2.exe",,N/A
17,18,b8c6,autonomic,,N/A
18,19,c4d5,"opponent,Obsidian140-avx2.exe",,N/A
19,20,d8d5,autonomic,,N/A
20,21,b1c3,"opponent,Obsidian140-avx2.exe",,N/A
21,22,e4c3,autonomic,,N/A
22,23,b2c3,"opponent,Obsidian140-avx2.exe",,N/A
23,24,f8e8,autonomic,,N/A
24,25,c1f4,"opponent,Obsidian140-avx2.exe",,N/A
25,26,f5d3,autonomic,,N/A
26,27,d1d3,"opponent,Obsidian140-avx2.exe",,N/A
27,28,e7d6,autonomic,,N/A
28,29,f3g5,"opponent,Obsidian140-avx2.exe",,N/A
29,30,g7g6,autonomic,,N/A
30,31,g5e4,"opponent,Obsidian140-avx2.exe",,N/A
31,32,g8g7,autonomic,,N/A
32,33,d3e3,"opponent,Obsidian140-avx2.exe",,N/A
33,34,d6f4,autonomic,,N/A
34,35,e3f4,"opponent,Obsidian140-avx2.exe",,N/A
35,36,e8e6,autonomic,,N/A
36,37,e4c5,"opponent,Obsidian140-avx2.exe",,N/A
37,38,e6e1,autonomic,,N/A
38,39,a1e1,"opponent,Obsidian140-avx2.exe",,N/A
39,40,b7b6,autonomic,,N/A
40,41,c5a6,"opponent,Obsidian140-avx2.exe",,N/A
41,42,d5c4,autonomic,,N/A
42,43,a6c7,"opponent,Obsidian140-avx2.exe",,N/A
43,44,c4c3,autonomic,,N/A
44,45,f4e4,"opponent,Obsidian140-avx2.exe",,N/A
45,46,a8c8,autonomic,,N/A
46,47,c7e8,"opponent,Obsidian140-avx2.exe",,N/A
47,48,g7f8,autonomic,,N/A
48,49,e8d6,"opponent,Obsidian140-avx2.exe",,N/A
49,50,c8d8,autonomic,,N/A
50,51,d6f7,"opponent,Obsidian140-avx2.exe",,N/A
51,52,f8f7,autonomic,,N/A
52,53,d4d5,"opponent,Obsidian140-avx2.exe",,N/A
53,54,c3e5,autonomic,,N/A
54,55,e4e5,"opponent,Obsidian140-avx2.exe",,N/A
55,56,c6e5,autonomic,,N/A
56,57,e1e5,"opponent,Obsidian140-avx2.exe",,N/A
57,58,d8c8,autonomic,,N/A
58,59,f2f4,"opponent,Obsidian140-avx2.exe",,N/A
59,60,h7h5,autonomic,,N/A
60,61,g1f2,"opponent,Obsidian140-avx2.exe",,N/A
61,62,c8c3,autonomic,,N/A
62,63,d5d6,"opponent,Obsidian140-avx2.exe",,N/A
63,64,c3d3,autonomic,,N/A
64,65,e5e7,"opponent,Obsidian140-avx2.exe",,N/A
65,66,f7f6,autonomic,,N/A
66,67,e7a7,"opponent,Obsidian140-avx2.exe",,N/A
67,68,d3d6,autonomic,,N/A
68,69,f2g3,"opponent,Obsidian140-avx2.exe",,N/A
69,70,f6f5,autonomic,,N/A
70,71,a7a4,"opponent,Obsidian140-avx2.exe",,N/A
71,72,d6d3,autonomic,,N/A
72,73,g3h4,"opponent,Obsidian140-avx2.exe",,N/A
73,74,d3d2,autonomic,,N/A
74,75,h4h3,"opponent,Obsidian140-avx2.exe",,N/A
75,76,b6b5,autonomic,,N/A
76,77,a4a6,"opponent,Obsidian140-avx2.exe",,N/A
77,78,f5f4,autonomic,,N/A
78,79,a6g6,"opponent,Obsidian140-avx2.exe",,N/A
79,80,d2a2,autonomic,,N/A
80,81,h3h4,"opponent,Obsidian140-avx2.exe",,N/A
81,82,b5b4,autonomic,,N/A
82,83,g6b6,"opponent,Obsidian140-avx2.exe",,N/A
83,84,a2g2,autonomic,,N/A
84,85,b6b4,"opponent,Obsidian140-avx2.exe",,N/A
85,86,f4f5,autonomic,,N/A
86,87,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
87,88,g2a2,autonomic,,N/A
88,89,h4h5,"opponent,Obsidian140-avx2.exe",,N/A
89,90,a2a8,autonomic,,N/A
90,91,b4b5,"opponent,Obsidian140-avx2.exe",,N/A
91,92,f5f4,autonomic,,N/A
92,93,h5g6,"opponent,Obsidian140-avx2.exe",,N/A
93,94,f4g3,autonomic,,N/A
94,95,b5b3,"opponent,Obsidian140-avx2.exe",,N/A
95,96,g3h4,autonomic,,N/A
96,97,g6h7,"opponent,Obsidian140-avx2.exe",,N/A
97,98,a8a4,autonomic,,N/A
98,99,h7g6,"opponent,Obsidian140-avx2.exe",,N/A
99,100,a4f4,autonomic,,N/A
100,101,b3a3,"opponent,Obsidian140-avx2.exe",,N/A
101,102,f4f1,autonomic,,N/A
102,103,a3b3,"opponent,Obsidian140-avx2.exe",,N/A
103,104,f1h1,autonomic,,N/A
104,105,g6f6,"opponent,Obsidian140-avx2.exe",,N/A
105,106,h1h3,autonomic,,N/A
106,107,b3h3,"opponent,Obsidian140-avx2.exe",,N/A
107,108,h4h3,autonomic,,N/A
