,turn,move_made,player,winner,detected?
0,1,g1f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
1,2,g8f6,autonomic,,N/A
2,3,d2d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,c2c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
5,6,d7d5,autonomic,,N/A
6,7,c4d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
7,8,e6d5,autonomic,,N/A
8,9,b1c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
9,10,f8b4,autonomic,,N/A
10,11,d1a4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
11,12,b8c6,autonomic,,N/A
12,13,c1g5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
13,14,h7h6,autonomic,,N/A
14,15,g5f6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
15,16,d8f6,autonomic,,N/A
16,17,e2e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
17,18,e8g8,autonomic,,N/A
18,19,a4b3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
19,20,f6g6,autonomic,,N/A
20,21,a1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
21,22,c8e6,autonomic,,N/A
22,23,a2a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
23,24,b4d6,autonomic,,N/A
24,25,b3c2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
25,26,g6c2,autonomic,,N/A
26,27,c1c2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
27,28,a7a6,autonomic,,N/A
28,29,f1d3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
29,30,c6e7,autonomic,,N/A
30,31,e1g1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
31,32,f8d8,autonomic,,N/A
32,33,f1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
33,34,b7b6,autonomic,,N/A
34,35,d3e2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
35,36,g7g5,autonomic,,N/A
36,37,g2g3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
37,38,g8g7,autonomic,,N/A
38,39,c2d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
39,40,f7f6,autonomic,,N/A
40,41,h2h4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
41,42,a8a7,autonomic,,N/A
42,43,g1g2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
43,44,a7a8,autonomic,,N/A
44,45,d2d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
45,46,d8b8,autonomic,,N/A
46,47,h4g5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
47,48,h6g5,autonomic,,N/A
48,49,d1h1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
49,50,g5g4,autonomic,,N/A
50,51,f3e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
51,52,c7c5,autonomic,,N/A
52,53,e1d3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
53,54,e6f5,autonomic,,N/A
54,55,h1h5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
55,56,c5d4,autonomic,,N/A
56,57,e3d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
57,58,b6b5,autonomic,,N/A
58,59,c1h1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
59,60,a6a5,autonomic,,N/A
60,61,d3c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
61,62,f5g6,autonomic,,N/A
62,63,h5h4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
63,64,d6c5,autonomic,,N/A
64,65,d4c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
65,66,b5b4,autonomic,,N/A
66,67,a3b4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
67,68,a5b4,autonomic,,N/A
68,69,c3d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
69,70,f6f5,autonomic,,N/A
70,71,f2f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
71,72,g4f3,autonomic,,N/A
72,73,e2f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
73,74,a8a5,autonomic,,N/A
74,75,h1e1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
75,76,g7f6,autonomic,,N/A
76,77,c5c6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
77,78,e7c6,autonomic,,N/A
78,79,d1e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
79,80,b8d8,autonomic,,N/A
80,81,e1d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
81,82,a5a2,autonomic,,N/A
82,83,d1d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
83,84,b4b3,autonomic,,N/A
84,85,h4f4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
85,86,f6g5,autonomic,,N/A
86,87,f3d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
87,88,c6e5,autonomic,,N/A
88,89,f4b4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
89,90,g6f7,autonomic,,N/A
90,91,b4b5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
91,92,f7e8,autonomic,,N/A
92,93,b5c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
93,94,e5d7,autonomic,,N/A
94,95,d5b3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
