,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Starzix-6.0-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Starzix-6.0-avx2.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,f3e5,"opponent,Starzix-6.0-avx2.exe",,N/A
5,6,d7d6,autonomic,,N/A
6,7,e5f3,"opponent,Starzix-6.0-avx2.exe",,N/A
7,8,f6e4,autonomic,,N/A
8,9,d2d4,"opponent,Starzix-6.0-avx2.exe",,N/A
9,10,d6d5,autonomic,,N/A
10,11,f1d3,"opponent,Starzix-6.0-avx2.exe",,N/A
11,12,f8e7,autonomic,,N/A
12,13,e1g1,"opponent,Starzix-6.0-avx2.exe",,N/A
13,14,b8c6,autonomic,,N/A
14,15,c2c4,"opponent,Starzix-6.0-avx2.exe",,N/A
15,16,c6b4,autonomic,,N/A
16,17,d3e2,"opponent,Starzix-6.0-avx2.exe",,N/A
17,18,e8g8,autonomic,,N/A
18,19,a2a3,"opponent,Starzix-6.0-avx2.exe",,N/A
19,20,b4c6,autonomic,,N/A
20,21,c4d5,"opponent,Starzix-6.0-avx2.exe",,N/A
21,22,d8d5,autonomic,,N/A
22,23,f1e1,"opponent,Starzix-6.0-avx2.exe",,N/A
23,24,e7d6,autonomic,,N/A
24,25,c1e3,"opponent,Starzix-6.0-avx2.exe",,N/A
25,26,c8d7,autonomic,,N/A
26,27,d1c2,"opponent,Starzix-6.0-avx2.exe",,N/A
27,28,f8e8,autonomic,,N/A
28,29,b1c3,"opponent,Starzix-6.0-avx2.exe",,N/A
29,30,e4c3,autonomic,,N/A
30,31,b2c3,"opponent,Starzix-6.0-avx2.exe",,N/A
31,32,d7f5,autonomic,,N/A
32,33,c2c1,"opponent,Starzix-6.0-avx2.exe",,N/A
33,34,d6f8,autonomic,,N/A
34,35,a3a4,"opponent,Starzix-6.0-avx2.exe",,N/A
35,36,c6a5,autonomic,,N/A
36,37,c3c4,"opponent,Starzix-6.0-avx2.exe",,N/A
37,38,d5d7,autonomic,,N/A
38,39,c1b2,"opponent,Starzix-6.0-avx2.exe",,N/A
39,40,a5c6,autonomic,,N/A
40,41,c4c5,"opponent,Starzix-6.0-avx2.exe",,N/A
41,42,a8b8,autonomic,,N/A
42,43,h2h3,"opponent,Starzix-6.0-avx2.exe",,N/A
43,44,f5e4,autonomic,,N/A
44,45,a1d1,"opponent,Starzix-6.0-avx2.exe",,N/A
45,46,h7h6,autonomic,,N/A
46,47,f3d2,"opponent,Starzix-6.0-avx2.exe",,N/A
47,48,e4d5,autonomic,,N/A
48,49,d2f1,"opponent,Starzix-6.0-avx2.exe",,N/A
49,50,b7b6,autonomic,,N/A
50,51,b2c3,"opponent,Starzix-6.0-avx2.exe",,N/A
