,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,e4d5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,d2d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
5,6,f6d5,autonomic,,N/A
6,7,c2c4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
7,8,d5f6,autonomic,,N/A
8,9,g1f3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
9,10,c7c5,autonomic,,N/A
10,11,d4d5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
11,12,e7e6,autonomic,,N/A
12,13,b1c3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
13,14,f8d6,autonomic,,N/A
14,15,d5e6,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
15,16,c8e6,autonomic,,N/A
16,17,c3b5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
17,18,d6c7,autonomic,,N/A
18,19,d1d8,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
19,20,c7d8,autonomic,,N/A
20,21,b5d6,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
21,22,e8d7,autonomic,,N/A
22,23,d6b7,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
23,24,d8b6,autonomic,,N/A
24,25,c1d2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
25,26,f6e4,autonomic,,N/A
26,27,d2f4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
27,28,d7c6,autonomic,,N/A
28,29,f1d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
29,30,f7f5,autonomic,,N/A
30,31,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
31,32,f5e4,autonomic,,N/A
32,33,f3g5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
33,34,e6c4,autonomic,,N/A
34,35,g5e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
35,36,c4d3,autonomic,,N/A
36,37,b7d6,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
37,38,b8a6,autonomic,,N/A
38,39,e1c1,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
39,40,a6b4,autonomic,,N/A
40,41,e4c3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
41,42,h8f8,autonomic,,N/A
42,43,f4g3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
43,44,c5c4,autonomic,,N/A
44,45,a2a3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
45,46,a7a5,autonomic,,N/A
46,47,b2b3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
47,48,b6d4,autonomic,,N/A
48,49,c3a4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
49,50,b4a2,autonomic,,N/A
50,51,c1d2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
51,52,d4f2,autonomic,,N/A
52,53,d6c4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
53,54,d3c4,autonomic,,N/A
54,55,b3c4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
55,56,f2g3,autonomic,,N/A
56,57,h2g3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
57,58,a8d8,autonomic,,N/A
58,59,d2e2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
59,60,d8e8,autonomic,,N/A
60,61,e2d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
61,62,e8d8,autonomic,,N/A
62,63,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
63,64,d8e8,autonomic,,N/A
64,65,e4d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
65,66,e8d8,autonomic,,N/A
66,67,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
67,68,d8e8,autonomic,,N/A
68,69,e4d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
69,70,e8d8,autonomic,,N/A
70,71,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
71,72,d8e8,autonomic,,N/A
72,73,e4d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
73,74,e8d8,autonomic,,N/A
74,75,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
75,76,d8e8,autonomic,,N/A
76,77,e4d3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
