,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,e4d5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,d2d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
5,6,f6d5,autonomic,,N/A
6,7,c2c4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
7,8,d5f6,autonomic,,N/A
8,9,g1f3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
9,10,c7c5,autonomic,,N/A
10,11,d4d5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
11,12,e7e6,autonomic,,N/A
12,13,b1c3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
13,14,f8d6,autonomic,,N/A
14,15,d5e6,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
15,16,c8e6,autonomic,,N/A
16,17,c3b5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
17,18,d6c7,autonomic,,N/A
18,19,d1d8,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
19,20,c7d8,autonomic,,N/A
20,21,b5d6,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
21,22,e8d7,autonomic,,N/A
22,23,d6b7,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
23,24,d8b6,autonomic,,N/A
24,25,c1d2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
25,26,f6e4,autonomic,,N/A
26,27,d2f4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
27,28,d7c6,autonomic,,Uralochka3.40a-avx2.exe
28,29,f1d3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
29,30,f7f5,autonomic,,Uralochka3.40a-avx2.exe
30,31,d3e4,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
31,32,f5e4,autonomic,,Uralochka3.40a-avx2.exe
32,33,f3g5,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
33,34,e6c4,autonomic,,Uralochka3.40a-avx2.exe
34,35,g5e4,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
35,36,c4d3,autonomic,,Uralochka3.40a-avx2.exe
36,37,b7d6,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
37,38,b8a6,autonomic,,Uralochka3.40a-avx2.exe
38,39,e1c1,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
39,40,a6b4,autonomic,,Uralochka3.40a-avx2.exe
40,41,e4c3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
41,42,h8f8,autonomic,,Uralochka3.40a-avx2.exe
42,43,f4g3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
43,44,d3g6,autonomic,,Uralochka3.40a-avx2.exe
44,45,d6c4,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
45,46,b4d3,autonomic,,Uralochka3.40a-avx2.exe
46,47,d1d3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
47,48,g6d3,autonomic,,Uralochka3.40a-avx2.exe
48,49,c4e5,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
49,50,c6b7,autonomic,,Uralochka3.40a-avx2.exe
50,51,e5d3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
51,52,c5c4,autonomic,,Uralochka3.40a-avx2.exe
52,53,d3e5,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
53,54,b6f2,autonomic,,Uralochka3.40a-avx2.exe
54,55,e5c4,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
55,56,b7a6,autonomic,,Uralochka3.40a-avx2.exe
56,57,g3d6,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
57,58,f8c8,autonomic,,Uralochka3.40a-avx2.exe
58,59,b2b3,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
59,60,c8c6,autonomic,,Uralochka3.40a-avx2.exe
60,61,c3d5,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
61,62,f2c5,autonomic,,Uralochka3.40a-avx2.exe
62,63,d5c7,"opponent,Alexandria-6.1.0-avx2.exe",,Uralochka3.40a-avx2.exe
